 ,Area,XM,YM,Major,Minor,Angle
1,3,1.500,0.500,3.385,1.128,0.000
2,26,8.538,4.923,11.305,2.928,112.489
3,4,11.750,1.250,3.192,1.596,71.565
4,213,51.782,3.477,34.552,7.849,176.740
5,20,75.900,2.100,6.547,3.890,5.960
6,21,85.643,3.500,7.760,3.446,97.473
7,109,96.766,3.748,16.070,8.636,3.304
8,1,177.500,0.500,1.128,1.128,0.000
9,1,186.500,0.500,1.128,1.128,0.000
10,11,362.591,1.773,4.605,3.042,72.391
11,4,442.000,1.000,2.257,2.257,0.000
12,5,445.700,0.900,3.144,2.025,161.565
13,1,483.500,0.500,1.128,1.128,0.000
14,16,504.625,3.250,6.494,3.137,82.427
15,1,530.500,0.500,1.128,1.128,0.000
16,4,536.000,0.500,4.514,1.128,0.000
17,605,560.283,16.480,37.240,20.685,109.578
18,12,583.000,2.000,3.909,3.909,0.000
19,151,610.142,4.884,26.677,7.207,174.295
20,2,620.000,0.500,2.257,1.128,0.000
21,23,628.196,3.717,7.818,3.746,78.516
22,3,635.833,0.833,2.365,1.615,45.000
23,3,642.167,0.833,2.365,1.615,135.000
24,1,667.500,0.500,1.128,1.128,0.000
25,1,674.500,0.500,1.128,1.128,0.000
26,28211,691.015,178.714,253.279,141.818,42.217
27,2,135.000,1.500,2.257,1.128,0.000
28,20,589.400,3.050,7.157,3.558,13.411
29,4,188.000,3.000,2.257,2.257,0.000
30,28,521.857,5.321,10.163,3.508,151.532
31,5,702.100,3.700,3.732,1.706,174.848
32,19,510.447,7.132,7.036,3.438,130.991
33,1,82.500,5.500,1.128,1.128,0.000
34,1,442.500,5.500,1.128,1.128,0.000
35,1,498.500,5.500,1.128,1.128,0.000
36,3,594.167,6.833,2.365,1.615,135.000
37,6,635.500,6.667,4.630,1.650,0.000
38,97,654.098,10.160,13.960,8.847,172.848
39,35,668.443,9.557,8.295,5.372,108.939
40,10,295.300,8.500,3.966,3.210,0.000
41,3,401.833,7.833,2.365,1.615,45.000
42,1,530.500,7.500,1.128,1.128,0.000
43,4,674.500,10.000,4.514,1.128,90.000
44,16,583.000,10.000,9.027,2.257,0.000
45,2,642.000,9.500,2.257,1.128,0.000
46,48,724.708,13.729,12.304,4.967,142.800
47,1,90.500,10.500,1.128,1.128,0.000
48,35,607.100,11.414,17.083,2.609,1.563
49,8,630.000,11.000,4.514,2.257,0.000
50,1,146.500,11.500,1.128,1.128,0.000
51,44,593.182,16.273,10.892,5.144,120.055
52,2,596.000,11.500,2.257,1.128,0.000
53,5,627.100,13.300,4.072,1.563,121.717
54,3,691.500,12.500,3.385,1.128,90.000
55,3,51.833,13.167,2.365,1.615,135.000
56,3,90.167,13.167,2.365,1.615,45.000
57,5,93.700,13.100,3.144,2.025,18.435
58,1,523.500,12.500,1.128,1.128,0.000
59,2,15.000,13.500,2.257,1.128,0.000
60,1,98.500,13.500,1.128,1.128,0.000
61,1,394.500,13.500,1.128,1.128,0.000
62,4,468.500,14.000,3.216,1.583,31.717
63,4,551.000,14.000,2.257,2.257,0.000
64,1,0.500,14.500,1.128,1.128,0.000
65,2,35.500,15.000,2.257,1.128,90.000
66,2,419.500,15.000,2.257,1.128,90.000
67,1,475.500,14.500,1.128,1.128,0.000
68,18,3.611,18.556,6.707,3.417,24.669
69,3,587.500,17.500,3.385,1.128,90.000
70,1,82.500,17.500,1.128,1.128,0.000
71,4,534.000,18.000,2.257,2.257,0.000
72,71,575.077,22.754,10.114,8.938,158.827
73,1,59.500,19.500,1.128,1.128,0.000
74,6,498.000,20.500,3.385,2.257,90.000
75,3,592.167,21.167,2.365,1.615,45.000
76,6,689.333,21.167,4.134,1.848,12.933
77,7,52.071,22.929,3.360,2.653,72.231
78,4,485.000,21.500,4.514,1.128,0.000
79,2,34.000,22.500,2.257,1.128,0.000
80,1,200.500,22.500,1.128,1.128,0.000
81,3,713.500,22.500,3.385,1.128,0.000
82,10,727.000,23.300,4.111,3.097,2.596E-14
83,9,700.611,24.389,3.923,2.921,11.981
84,5,314.100,25.300,3.144,2.025,108.435
85,3,489.500,24.500,3.385,1.128,0.000
86,4,602.000,25.000,2.257,2.257,0.000
87,3,22.833,26.167,2.365,1.615,135.000
88,9,713.389,26.611,3.923,2.921,11.981
89,15,580.233,28.367,8.297,2.302,12.349
90,5,624.900,28.700,3.144,2.025,108.435
91,23,100.891,29.891,7.835,3.738,176.725
92,2,130.000,29.500,2.257,1.128,0.000
93,19,584.342,31.711,6.339,3.816,148.653
94,5,34.100,31.300,3.144,2.025,108.435
95,4,52.000,31.000,2.257,2.257,0.000
96,5,60.300,30.900,3.144,2.025,18.435
97,1,114.500,30.500,1.128,1.128,0.000
98,3,497.500,30.500,3.385,1.128,0.000
99,6,530.000,31.500,3.385,2.257,90.000
100,1,546.500,30.500,1.128,1.128,0.000
101,3,554.167,30.833,2.365,1.615,135.000
102,1,650.500,30.500,1.128,1.128,0.000
103,17,109.735,33.559,5.377,4.025,97.132
104,2,514.500,33.000,2.257,1.128,90.000
105,2,711.000,32.500,2.257,1.128,0.000
106,2,539.500,34.000,2.257,1.128,90.000
107,4,666.500,37.000,4.514,1.128,90.000
108,3,618.500,37.500,3.385,1.128,90.000
109,4,626.000,37.000,2.257,2.257,0.000
110,3,707.833,37.167,2.365,1.615,135.000
111,1,546.500,37.500,1.128,1.128,0.000
112,2,650.500,38.000,2.257,1.128,90.000
113,16,478.000,42.000,9.027,2.257,90.000
114,5,538.100,39.300,3.144,2.025,108.435
115,4,592.000,39.000,2.257,2.257,0.000
116,1,643.500,38.500,1.128,1.128,0.000
117,1,659.500,38.500,1.128,1.128,0.000
118,11,697.409,39.591,4.482,3.125,135.000
119,25,260.620,42.900,8.137,3.912,142.688
120,42,554.810,43.952,12.021,4.448,140.232
121,10,716.400,41.300,4.049,3.144,116.565
122,3,533.500,42.500,3.385,1.128,90.000
123,3,538.833,45.500,3.213,1.189,118.155
124,1,594.500,45.500,1.128,1.128,0.000
125,1,622.500,45.500,1.128,1.128,0.000
126,1,418.500,46.500,1.128,1.128,0.000
127,9,520.722,46.944,5.229,2.191,175.269
128,3,547.500,46.500,3.385,1.128,0.000
129,2,615.000,46.500,2.257,1.128,0.000
130,2,642.500,47.000,2.257,1.128,90.000
131,16,565.875,49.812,5.869,3.471,72.535
132,58,750.069,50.121,11.541,6.399,4.828
133,1,427.500,48.500,1.128,1.128,0.000
134,10,543.000,51.300,4.111,3.097,2.596E-14
135,7,550.786,52.643,3.507,2.542,59.527
136,14,560.500,53.214,5.795,3.076,163.764
137,8,703.000,51.500,9.027,1.128,0.000
138,12,498.000,54.000,4.986,3.064,125.783
139,1,515.500,53.500,1.128,1.128,0.000
140,1,570.500,53.500,1.128,1.128,0.000
141,1,619.500,53.500,1.128,1.128,0.000
142,7,722.357,54.500,4.428,2.013,24.699
143,2,173.000,54.500,2.257,1.128,0.000
144,2,506.500,55.000,2.257,1.128,90.000
145,4,509.500,54.750,2.734,1.863,0.000
146,2,523.500,55.000,2.257,1.128,90.000
147,2,555.500,55.000,2.257,1.128,90.000
148,2,626.500,56.000,2.257,1.128,90.000
149,10,716.300,58.000,4.111,3.097,90.000
150,23,174.891,61.543,9.021,3.246,86.191
151,4,492.250,57.750,3.192,1.596,18.435
152,4,514.250,58.500,2.734,1.863,90.000
153,4,756.000,58.000,2.257,2.257,0.000
154,3,509.833,59.833,2.365,1.615,45.000
155,5,721.700,61.100,3.144,2.025,18.435
156,6,489.500,63.000,3.385,2.257,0.000
157,1,498.500,62.500,1.128,1.128,0.000
158,1,523.500,62.500,1.128,1.128,0.000
159,1,746.500,62.500,1.128,1.128,0.000
160,1,755.500,62.500,1.128,1.128,0.000
161,8,714.125,67.875,5.110,1.993,81.323
162,26,175.846,70.385,7.410,4.467,80.331
163,9,704.389,68.944,4.428,2.588,170.783
164,1,523.500,69.500,1.128,1.128,0.000
165,1,762.500,69.500,1.128,1.128,0.000
166,2,495.000,70.500,2.257,1.128,0.000
167,1,570.500,70.500,1.128,1.128,0.000
168,22,142.000,72.864,6.573,4.261,180.000
169,41,711.110,75.841,12.058,4.329,171.775
170,1,586.500,78.500,1.128,1.128,0.000
171,7,176.071,81.786,4.154,2.146,98.350
172,6,682.167,82.000,3.718,2.055,90.000
173,62,190.210,85.597,13.219,5.972,1.279
174,1,699.500,86.500,1.128,1.128,0.000
175,1,706.500,86.500,1.128,1.128,0.000
176,2,716.000,88.500,2.257,1.128,0.000
177,8,665.625,90.625,3.538,2.879,45.000
178,4,703.000,90.000,2.257,2.257,0.000
179,1,194.500,90.500,1.128,1.128,0.000
180,3,370.167,93.167,2.365,1.615,45.000
181,1,442.500,93.500,1.128,1.128,0.000
182,2,660.000,93.500,2.257,1.128,0.000
183,1,699.500,93.500,1.128,1.128,0.000
184,1,706.500,93.500,1.128,1.128,0.000
185,5,715.900,94.700,3.144,2.025,108.435
186,2,466.000,94.500,2.257,1.128,0.000
187,2,675.500,95.000,2.257,1.128,90.000
188,2,680.500,95.000,2.257,1.128,90.000
189,6,695.000,94.833,3.718,2.055,0.000
190,23,19.109,99.630,7.822,3.744,98.978
191,112,664.696,103.634,12.562,11.352,21.156
192,2,650.500,98.000,2.257,1.128,90.000
193,4,644.000,100.000,2.257,2.257,0.000
194,2,42.500,101.000,2.257,1.128,90.000
195,2,677.500,101.000,2.257,1.128,90.000
196,5,683.700,101.900,4.072,1.563,148.283
197,2,610.000,101.500,2.257,1.128,0.000
198,2,650.000,101.500,2.257,1.128,0.000
199,1,434.500,102.500,1.128,1.128,0.000
200,1,642.500,102.500,1.128,1.128,0.000
201,3,698.167,102.833,2.365,1.615,135.000
202,4,334.000,106.000,2.257,2.257,0.000
203,14,761.571,107.643,5.443,3.275,82.839
204,2,515.500,107.000,2.257,1.128,90.000
205,5,520.300,107.100,3.144,2.025,161.565
206,6,689.500,107.000,3.385,2.257,0.000
207,321,649.407,123.319,22.070,18.519,169.235
208,4,532.000,109.000,2.257,2.257,0.000
209,35,696.186,113.586,9.793,4.550,81.016
210,1,571.500,109.500,1.128,1.128,0.000
211,1,635.500,109.500,1.128,1.128,0.000
212,3,445.833,110.833,2.365,1.615,45.000
213,22,575.818,112.455,6.578,4.258,144.420
214,1,602.500,110.500,1.128,1.128,0.000
215,2,672.500,112.000,2.257,1.128,90.000
216,14,620.357,114.143,4.937,3.611,20.576
217,18,678.500,113.222,8.809,2.602,8.224
218,5,615.700,117.100,3.144,2.025,18.435
219,4,669.500,117.250,2.734,1.863,0.000
220,1,485.500,117.500,1.128,1.128,0.000
221,1,571.500,117.500,1.128,1.128,0.000
222,8,679.000,117.500,9.027,1.128,0.000
223,6,460.500,119.000,3.385,2.257,0.000
224,2,578.500,119.000,2.257,1.128,90.000
225,47,623.713,120.862,13.609,4.397,12.196
226,16,10.750,122.375,5.677,3.588,108.908
227,4,533.750,124.750,3.192,1.596,108.435
228,12,631.000,124.500,4.514,3.385,0.000
229,1,186.500,125.500,1.128,1.128,0.000
230,1,376.500,126.500,1.128,1.128,0.000
231,2,562.000,126.500,2.257,1.128,0.000
232,8,666.500,130.000,9.027,1.128,90.000
233,4,619.500,130.000,4.514,1.128,90.000
234,4,626.500,130.000,4.514,1.128,90.000
235,2,373.500,130.000,2.257,1.128,90.000
236,1,378.500,129.500,1.128,1.128,0.000
237,15,672.767,132.433,5.547,3.443,17.814
238,1,363.500,131.500,1.128,1.128,0.000
239,1,370.500,131.500,1.128,1.128,0.000
240,1,371.500,133.500,1.128,1.128,0.000
241,2,396.000,134.500,2.257,1.128,0.000
242,1,523.500,134.500,1.128,1.128,0.000
243,4,538.250,135.250,3.192,1.596,108.435
244,1,594.500,134.500,1.128,1.128,0.000
245,16,618.875,141.250,11.701,1.741,82.723
246,75,627.327,143.527,16.221,5.887,78.346
247,12,615.000,136.000,6.770,2.257,0.000
248,6,636.500,136.000,3.385,2.257,0.000
249,1,570.500,136.500,1.128,1.128,0.000
250,1,205.500,137.500,1.128,1.128,0.000
251,10,641.500,138.800,5.456,2.333,13.355
252,1,74.500,138.500,1.128,1.128,0.000
253,1,267.500,139.500,1.128,1.128,0.000
254,3,371.500,140.500,3.385,1.128,90.000
255,1,570.500,139.500,1.128,1.128,0.000
256,12,615.000,140.000,6.770,2.257,0.000
257,2,83.500,141.000,2.257,1.128,90.000
258,4,526.500,141.250,2.734,1.863,0.000
259,2,71.000,141.500,2.257,1.128,0.000
260,1,587.500,141.500,1.128,1.128,0.000
261,110,72.191,151.945,18.030,7.768,52.930
262,5,96.100,143.300,3.144,2.025,108.435
263,2,368.000,142.500,2.257,1.128,0.000
264,2,554.000,142.500,2.257,1.128,0.000
265,2,570.000,142.500,2.257,1.128,0.000
266,6,610.000,143.500,3.385,2.257,90.000
267,15,613.633,144.767,6.751,2.829,93.414
268,3,547.833,144.167,2.365,1.615,135.000
269,4,90.500,146.000,4.514,1.128,90.000
270,56,359.893,150.411,10.403,6.854,3.339
271,5,592.900,148.700,3.144,2.025,108.435
272,2,82.500,149.000,2.257,1.128,90.000
273,6,370.500,151.167,5.173,1.477,107.609
274,31,348.758,152.597,12.234,3.226,154.421
275,1,554.500,150.500,1.128,1.128,0.000
276,4,602.250,151.250,3.192,1.596,108.435
277,4,7.500,152.000,3.216,1.583,31.717
278,6,2.500,153.667,4.339,1.761,125.249
279,1,338.500,152.500,1.128,1.128,0.000
280,3,579.833,152.833,2.365,1.615,45.000
281,2,619.500,154.000,2.257,1.128,90.000
282,1,76.500,155.500,1.128,1.128,0.000
283,3,382.500,156.500,3.385,1.128,90.000
284,9,594.611,156.944,4.428,2.588,9.217
285,2,226.500,157.000,2.257,1.128,90.000
286,1,8.500,157.500,1.128,1.128,0.000
287,2,74.000,157.500,2.257,1.128,0.000
288,1,258.500,157.500,1.128,1.128,0.000
289,1,298.500,157.500,1.128,1.128,0.000
290,1,475.500,157.500,1.128,1.128,0.000
291,1,482.500,157.500,1.128,1.128,0.000
292,1,547.500,157.500,1.128,1.128,0.000
293,2,411.500,159.000,2.257,1.128,90.000
294,12,418.083,162.917,7.772,1.966,80.854
295,3,428.500,158.500,3.385,1.128,0.000
296,2,509.500,159.000,2.257,1.128,90.000
297,16,516.500,161.625,5.686,3.583,126.052
298,1,522.500,158.500,1.128,1.128,0.000
299,2,583.500,159.000,2.257,1.128,90.000
300,2,618.000,158.500,2.257,1.128,0.000
301,25,435.020,163.180,7.920,4.019,90.098
302,2,238.000,160.500,2.257,1.128,0.000
303,2,268.000,160.500,2.257,1.128,0.000
304,2,290.500,161.000,2.257,1.128,90.000
305,20,429.050,165.500,6.413,3.971,82.212
306,8,562.125,163.875,5.110,1.993,81.323
307,4,591.000,162.000,2.257,2.257,0.000
308,82,619.500,167.488,14.850,7.031,120.800
309,16,553.750,165.062,4.846,4.204,131.437
310,1,122.500,163.500,1.128,1.128,0.000
311,5,586.300,165.100,3.732,1.706,84.848
312,6,609.833,164.833,3.489,2.190,45.000
313,3,187.167,165.500,3.213,1.189,61.845
314,2,194.500,165.000,2.257,1.128,90.000
315,2,362.500,165.000,2.257,1.128,90.000
316,14,374.786,166.500,4.355,4.093,59.872
317,2,507.500,165.000,2.257,1.128,90.000
318,2,512.500,165.000,2.257,1.128,90.000
319,3,571.500,165.500,3.385,1.128,90.000
320,4,578.750,165.750,3.192,1.596,108.435
321,2,238.000,165.500,2.257,1.128,0.000
322,1,267.500,165.500,1.128,1.128,0.000
323,2,330.000,165.500,2.257,1.128,0.000
324,1,522.500,165.500,1.128,1.128,0.000
325,2,530.000,165.500,2.257,1.128,0.000
326,8,383.000,167.000,4.514,2.257,0.000
327,404,515.886,186.587,31.850,16.150,79.203
328,1,539.500,166.500,1.128,1.128,0.000
329,1,546.500,166.500,1.128,1.128,0.000
330,6,561.500,168.000,3.385,2.257,0.000
331,77,577.357,172.539,12.649,7.751,164.303
332,3,593.500,168.500,3.385,1.128,0.000
333,2,67.500,170.000,2.257,1.128,90.000
334,2,74.500,170.000,2.257,1.128,90.000
335,16,80.375,170.750,5.979,3.407,14.872
336,2,179.500,170.000,2.257,1.128,90.000
337,3,503.167,169.833,2.365,1.615,135.000
338,12,555.000,170.000,6.770,2.257,0.000
339,4,599.000,170.000,2.257,2.257,0.000
340,6,210.000,172.500,3.385,2.257,90.000
341,8,527.000,171.500,9.027,1.128,0.000
342,4,562.000,172.000,2.257,2.257,0.000
343,2,506.500,173.000,2.257,1.128,90.000
344,9,186.500,177.500,10.155,1.128,90.000
345,34,378.176,177.853,10.992,3.938,118.223
346,2,383.000,173.500,2.257,1.128,0.000
347,2,539.500,174.000,2.257,1.128,90.000
348,2,546.500,174.000,2.257,1.128,90.000
349,6,555.000,173.500,6.770,1.128,0.000
350,6,588.500,174.000,3.385,2.257,0.000
351,3,171.833,174.833,2.365,1.615,45.000
352,16,182.000,178.000,9.027,2.257,90.000
353,258,189.535,195.640,28.839,11.391,85.897
354,9,195.500,176.500,4.005,2.861,144.217
355,4,207.000,175.000,2.257,2.257,0.000
356,1,491.500,174.500,1.128,1.128,0.000
357,12,176.583,176.833,4.314,3.542,55.278
358,17,598.735,176.912,9.115,2.375,176.266
359,6,167.000,176.833,3.718,2.055,0.000
360,6,474.167,178.000,3.718,2.055,90.000
361,11,41.409,180.409,4.482,3.125,45.000
362,7,171.357,179.929,4.903,1.818,51.132
363,4,15.000,181.000,2.257,2.257,0.000
364,998,63.672,211.853,40.902,31.067,100.553
365,3,147.833,181.167,2.365,1.615,135.000
366,6,176.667,181.167,4.134,1.848,167.067
367,4,230.000,181.000,2.257,2.257,0.000
368,19,74.447,183.184,6.002,4.031,154.924
369,1,82.500,181.500,1.128,1.128,0.000
370,2,164.000,181.500,2.257,1.128,0.000
371,3,196.500,181.500,3.385,1.128,0.000
372,5,282.900,182.300,3.713,1.715,32.612
373,2,290.000,181.500,2.257,1.128,0.000
374,2,295.000,181.500,2.257,1.128,0.000
375,2,68.000,182.500,2.257,1.128,0.000
376,8,218.500,186.000,9.027,1.128,90.000
377,3,275.833,182.833,2.365,1.615,45.000
378,29,376.845,187.569,8.338,4.428,82.185
379,47,481.968,187.989,11.488,5.209,41.601
380,3,490.500,183.500,3.385,1.128,90.000
381,20,498.550,186.550,9.108,2.796,60.023
382,8,463.000,183.500,9.027,1.128,0.000
383,8,241.750,186.000,3.254,3.130,90.000
384,2,51.500,186.000,2.257,1.128,90.000
385,5,386.100,186.700,3.144,2.025,71.565
386,1,418.500,185.500,1.128,1.128,0.000
387,2,279.000,187.500,2.257,1.128,0.000
388,4,372.000,188.000,2.257,2.257,0.000
389,12,526.000,188.000,6.770,2.257,0.000
390,5,416.500,188.500,5.642,1.128,0.000
391,2,427.500,189.000,2.257,1.128,90.000
392,2,434.500,189.000,2.257,1.128,90.000
393,3,73.500,189.500,3.385,1.128,0.000
394,42,9.929,197.429,15.569,3.435,95.880
395,58,206.379,200.672,11.777,6.270,117.672
396,12,228.583,192.167,4.314,3.542,124.722
397,1,539.500,190.500,1.128,1.128,0.000
398,3,548.500,190.500,3.385,1.128,0.000
399,32,563.938,194.000,8.942,4.556,90.000
400,4,234.000,193.000,2.257,2.257,0.000
401,18,555.611,194.333,6.917,3.313,15.769
402,2,146.500,194.000,2.257,1.128,90.000
403,2,251.500,194.000,2.257,1.128,90.000
404,42,264.595,199.048,12.828,4.169,163.582
405,2,372.000,193.500,2.257,1.128,0.000
406,2,546.500,194.000,2.257,1.128,90.000
407,2,162.500,195.000,2.257,1.128,90.000
408,2,268.000,194.500,2.257,1.128,0.000
409,29,1.983,198.983,7.578,4.872,88.675
410,31,415.339,200.048,10.412,3.791,39.296
411,7379,147.901,240.167,261.365,35.947,178.456
412,258,226.640,209.663,22.962,14.306,54.850
413,4,273.750,197.250,3.192,1.596,18.435
414,3,357.167,197.167,2.365,1.615,45.000
415,4,255.000,197.500,4.514,1.128,0.000
416,1,371.500,197.500,1.128,1.128,0.000
417,1,539.500,197.500,1.128,1.128,0.000
418,2,596.000,197.500,2.257,1.128,0.000
419,1,90.500,198.500,1.128,1.128,0.000
420,3,100.500,198.500,3.385,1.128,0.000
421,2,108.000,198.500,2.257,1.128,0.000
422,15,132.233,200.700,4.507,4.237,38.736
423,2,165.000,198.500,2.257,1.128,0.000
424,13,171.038,201.808,7.355,2.250,92.731
425,8,178.500,202.000,9.027,1.128,90.000
426,1,307.500,198.500,1.128,1.128,0.000
427,5,500.300,198.900,3.144,2.025,18.435
428,50,530.240,203.620,11.827,5.383,57.180
429,8,585.625,199.375,3.538,2.879,135.000
430,4,159.000,200.000,2.257,2.257,0.000
431,4,274.250,200.500,2.734,1.863,90.000
432,6,524.500,200.000,3.385,2.257,0.000
433,6,105.500,201.000,3.385,2.257,0.000
434,8,351.000,202.000,4.514,2.257,90.000
435,8,442.750,202.250,4.351,2.341,135.000
436,44,560.955,205.341,12.215,4.586,98.563
437,2,83.500,202.000,2.257,1.128,90.000
438,19,421.079,203.921,5.944,4.070,135.000
439,10,449.500,203.200,3.828,3.326,23.234
440,6,100.500,203.000,3.385,2.257,0.000
441,4,165.250,203.500,2.734,1.863,90.000
442,2,506.000,202.500,2.257,1.128,0.000
443,17,522.912,204.500,5.114,4.232,49.457
444,2,108.000,203.500,2.257,1.128,0.000
445,4,159.000,204.000,2.257,2.257,0.000
446,8,356.125,205.250,3.824,2.664,107.296
447,3,379.500,204.500,3.385,1.128,90.000
448,3,386.500,204.500,3.385,1.128,90.000
449,7,436.357,204.786,3.507,2.542,149.527
450,8,479.000,203.500,9.027,1.128,0.000
451,14,4.929,206.286,5.022,3.550,151.890
452,17,115.206,206.618,7.433,2.912,162.468
453,6,137.333,205.167,4.134,1.848,12.933
454,15,261.567,206.567,6.023,3.171,156.224
455,4,269.500,205.250,2.734,1.863,0.000
456,5,298.900,206.500,5.078,1.254,72.857
457,15,308.367,205.833,4.708,4.057,147.114
458,8,107.000,206.625,4.722,2.157,144.432
459,4,124.250,206.250,3.192,1.596,161.565
460,2,130.000,205.500,2.257,1.128,0.000
461,37,39.176,210.689,9.985,4.718,44.394
462,47,100.032,211.287,9.270,6.455,103.009
463,30,173.067,212.700,11.217,3.405,59.182
464,8,294.000,208.000,4.514,2.257,90.000
465,6,430.000,206.833,3.718,2.055,0.000
466,24,484.500,210.000,9.027,3.385,90.000
467,1,491.500,206.500,1.128,1.128,0.000
468,7,129.786,208.500,3.086,2.888,90.000
469,10,212.300,210.000,4.111,3.097,90.000
470,8,351.000,208.500,9.027,1.128,0.000
471,4,361.750,208.750,3.192,1.596,161.565
472,1,567.500,208.500,1.128,1.128,0.000
473,2,219.500,210.000,2.257,1.128,90.000
474,19,240.921,211.921,5.944,4.070,45.000
475,26,387.615,213.500,8.576,3.860,1.038
476,964,417.608,226.985,42.839,28.652,31.428
477,1,443.500,209.500,1.128,1.128,0.000
478,3,450.167,209.833,2.365,1.615,135.000
479,2,498.500,210.000,2.257,1.128,90.000
480,2,507.500,210.000,2.257,1.128,90.000
481,2,514.500,210.000,2.257,1.128,90.000
482,10,517.500,211.300,3.966,3.210,90.000
483,22,120.500,211.136,11.378,2.462,176.692
484,24,191.000,211.500,9.027,3.385,0.000
485,24,407.000,211.500,9.027,3.385,0.000
486,5,522.500,211.900,3.679,1.730,115.670
487,10,111.000,212.700,4.198,3.033,180.000
488,5,259.100,213.700,3.713,1.715,32.612
489,52,350.692,215.269,11.548,5.733,155.896
490,19,362.184,213.711,7.481,3.234,14.902
491,8,566.000,213.250,5.468,1.863,0.000
492,3,129.500,213.500,3.385,1.128,0.000
493,33,451.106,217.742,10.077,4.170,54.771
494,1,491.500,213.500,1.128,1.128,0.000
495,1,530.500,213.500,1.128,1.128,0.000
496,2,47.000,214.500,2.257,1.128,0.000
497,36,92.528,219.361,10.904,4.204,85.509
498,10,119.000,215.300,4.111,3.097,2.596E-14
499,5,188.300,214.900,3.144,2.025,18.435
500,5,193.700,214.900,3.144,2.025,161.565
501,23,205.891,216.065,5.838,5.016,4.468
502,8,211.500,218.000,9.027,1.128,90.000
503,3,372.500,214.500,3.385,1.128,0.000
504,1,379.500,214.500,1.128,1.128,0.000
505,2,458.500,215.000,2.257,1.128,90.000
506,11,469.773,216.227,8.142,1.720,173.267
507,7,539.929,215.786,4.154,2.146,81.650
508,6,125.833,218.000,3.718,2.055,90.000
509,4,130.500,218.000,4.514,1.128,90.000
510,10,177.700,218.000,4.111,3.097,90.000
511,5,345.700,216.900,3.144,2.025,161.565
512,8,391.000,217.500,3.489,2.919,0.000
513,16,487.000,217.000,9.027,2.257,0.000
514,4,252.000,218.000,2.257,2.257,0.000
515,12,382.583,218.083,7.979,1.915,0.522
516,14,42.571,220.643,5.875,3.034,17.526
517,13,360.654,219.423,5.710,2.899,177.106
518,10,335.000,220.700,4.198,3.033,180.000
519,5,387.900,220.700,3.144,2.025,108.435
520,10,543.700,220.600,4.049,3.144,153.435
521,13,100.962,221.346,10.973,1.508,177.387
522,5,172.300,221.100,3.144,2.025,161.565
523,5,188.300,221.100,3.144,2.025,161.565
524,5,193.700,221.100,3.144,2.025,18.435
525,2,258.000,221.500,2.257,1.128,0.000
526,590,356.107,237.485,29.471,25.490,39.380
527,17,383.029,225.735,9.667,2.239,88.773
528,24,485.750,223.458,6.849,4.462,21.332
529,5,114.100,223.300,3.144,2.025,108.435
530,1,130.500,222.500,1.128,1.128,0.000
531,1,178.500,222.500,1.128,1.128,0.000
532,1,288.500,222.500,1.128,1.128,0.000
533,1,339.500,222.500,1.128,1.128,0.000
534,2,455.000,222.500,2.257,1.128,0.000
535,6,478.000,223.500,3.385,2.257,90.000
536,7,501.071,222.786,5.155,1.729,9.615
537,5,521.700,222.900,3.144,2.025,161.565
538,8,538.500,226.000,9.027,1.128,90.000
539,60,248.100,226.000,11.340,6.737,0.000
540,6,257.500,224.000,3.385,2.257,0.000
541,8,359.000,223.500,9.027,1.128,0.000
542,1,275.500,224.500,1.128,1.128,0.000
543,116,293.655,233.793,17.007,8.684,126.068
544,2,123.500,226.000,2.257,1.128,90.000
545,168,471.351,232.774,22.558,9.482,6.506
546,2,44.000,226.500,2.257,1.128,0.000
547,12,442.750,229.250,5.814,2.628,110.776
548,13,449.192,230.192,5.993,2.762,58.119
549,2,110.500,229.000,2.257,1.128,90.000
550,1,130.500,229.500,1.128,1.128,0.000
551,14,320.214,230.286,8.338,2.138,179.896
552,8,391.000,229.500,9.027,1.128,0.000
553,4,458.250,230.500,2.734,1.863,90.000
554,2,559.000,229.500,2.257,1.128,0.000
555,6,39.000,230.833,3.718,2.055,0.000
556,5,43.900,231.300,3.144,2.025,71.565
557,2,122.000,230.500,2.257,1.128,0.000
558,20,307.350,233.950,9.210,2.765,88.533
559,2,328.500,231.000,2.257,1.128,90.000
560,5,337.700,230.900,3.144,2.025,161.565
561,84,330.929,240.524,13.499,7.923,45.129
562,8,375.000,232.500,9.027,1.128,0.000
563,10,537.700,234.000,4.111,3.097,90.000
564,2,58.500,234.000,2.257,1.128,90.000
565,4,116.000,234.000,2.257,2.257,0.000
566,17,316.382,236.559,7.792,2.778,164.352
567,2,490.500,234.000,2.257,1.128,90.000
568,8,482.750,235.625,4.444,2.292,144.645
569,6,385.833,236.833,3.489,2.190,45.000
570,7,396.071,238.357,3.644,2.446,112.500
571,3,489.500,237.500,3.385,1.128,0.000
572,1,539.500,237.500,1.128,1.128,0.000
573,2,303.500,239.000,2.257,1.128,90.000
574,4,427.750,239.250,3.192,1.596,71.565
575,103,458.791,249.539,20.069,6.535,141.237
576,15,483.433,239.833,4.697,4.066,113.342
577,8,52.000,242.000,4.514,2.257,90.000
578,8,290.000,242.000,4.514,2.257,90.000
579,40,316.525,244.375,10.267,4.960,139.629
580,8,418.875,242.750,4.663,2.184,67.737
581,31,367.855,247.306,11.073,3.565,74.829
